     cagr      vol    sharpe   sortino  max_drawdown  information_ratio  is_avg_corr  os_avg_corr
 0.086097 0.212436  0.283781  0.672433      0.272725           0.377778          NaN          NaN
 0.068853 0.238649  0.183559  0.299795      0.380025           0.296901          NaN          NaN
 0.160724 0.149992  0.896418  1.824043      0.138770           0.917717          NaN          NaN
-0.108077 0.148905 -0.840906 -1.334956      0.270114          -0.820470          NaN          NaN
-0.470661 0.317824 -1.483382 -1.730033      0.483443          -1.792454          NaN          NaN
 0.074153 0.196819  0.227471  0.361893      0.251971           0.317305          NaN          NaN
-0.194353 0.284877 -0.758567 -1.342317      0.482322          -0.709186          NaN          NaN
-0.132883 0.144701 -1.153535 -1.707990      0.132726          -1.185092          NaN          NaN
