Name,Weight,OS Total Return,OS Months,OS CAGR,OS Vol,OS Sharpe,OS Sortino,OS IR,OS MaxDD,IS Total Return,IS Months,IS CAGR,IS Vol,IS Sharpe,IS Sortino,IS IR,IS MaxDD
Equal Weight,,,,1.4860390821652247,8.331129462495879,-0.11018493918806148,-0.1912679385903182,-0.07002119229061574,10.646122148464176,,,20.256130010455962,8.801192431449987,2.2245965230633447,5.161190494921967,2.0901619764909145,7.0820251256546785
User Weight,,,,1.4860390821652247,8.331129462495879,-0.11018493918806148,-0.1912679385903182,-0.07002119229061574,10.646122148464176,,,20.256130010455962,8.801192431449987,2.2245965230633447,5.161190494921967,2.0901619764909145,7.0820251256546785
,,,,,,,,,,,,,,,,,
Mgr_18,20.0,,,8.609704139630981,21.243554606797964,0.2837813172749188,0.6724329087243637,0.3777780167195547,27.272493539423216,,,29.669873486664255,19.39055479852386,1.4886898899328267,4.223992366860909,1.4135143703581174,27.272493539423227
Mgr_12,20.0,,,6.885284037992601,23.864945704322107,0.1835594131050424,0.2997951978707427,0.29690144990610445,38.00252150987835,,,22.967404843971174,22.495539798882277,0.9891135725032727,1.6600017749957237,1.0114392135102839,38.00252150987834
Mgr_09,20.0,,,16.072361224279618,14.999171286319232,0.8964184091292415,1.824043131958816,0.9177169129590422,13.877018990241863,,,14.613690166645243,14.617984541663995,0.9543389924977675,2.0056577848013557,0.9693037984565399,16.989851418424816
Mgr_03,10.0,,,-10.807732328157494,14.89051303670465,-0.8409061507576451,-1.3349556382445473,-0.8204697562482359,27.01136985760506,,,9.77187674353166,13.432623857474175,0.6506627695263485,1.034911908811246,0.6922496354049472,20.964722688645065
Mgr_08,5.0,,,-47.066130862398396,31.782361083276335,-1.4833818634302285,-1.7300330820440302,-1.7924540361531958,48.34425894070281,,,12.279281877237146,18.103126376499482,0.6719236789006001,1.0354766624712672,0.7255564633297107,24.122616423161258
Mgr_04,10.0,,,7.415339085502071,19.681887602594745,0.2274707144022182,0.36189269345867076,0.3173053829380293,25.19705060327828,,,11.639958838221709,18.068282775641322,0.6281371110294122,1.1372209561324278,0.6854849124207498,27.10593800344484
Mgr_10,10.0,,,-19.435268190856114,28.48768933030268,-0.7585665761898107,-1.3423167434132681,-0.7091857884921055,48.232178068877865,,,15.179236140646623,25.994657007886346,0.5725033518067235,1.3585015235782414,0.6606820090625195,31.93398796536977
Mgr_07,5.0,,,-13.28830249420162,14.470062506790878,-1.15353536148276,-1.707989758679024,-1.1850916460124505,13.272646617783812,,,20.206693626659057,21.85593773035241,0.8223390029330263,1.2716911871407515,0.8662810677294079,18.633848247048423
